"MSOA11CD","total_cases"
"E02000643",770
"E02000644",672
"E02000645",696
"E02000646",716
"E02000647",679
"E02000648",653
"E02000649",933
"E02000650",563
"E02000651",725
"E02000652",590
"E02000653",836
"E02000654",671
"E02000655",734
"E02000657",721
"E02000658",581
"E02000659",473
"E02000660",518
"E02000661",391
"E02000662",475
"E02000663",482
"E02000664",1040
"E02000665",547
"E02000666",554
"E02000667",464
"E02000668",471
"E02000669",539
"E02000670",488
"E02000671",541
"E02000672",784
"E02000673",473
"E02000674",601
"E02000675",596
"E02000676",581
"E02000677",549
"E02000678",491
"E02000679",584
"E02000680",413
"E02000681",640
"E02000682",785
"E02000683",505
"E02000685",589
"E02000686",600
"E02000687",545
"E02000689",514
"E02000690",308
"E02000691",441
"E02000692",440
"E02000693",684
"E02000694",594
"E02000695",849
"E02000696",693
"E02000697",470
"E02000698",520
"E02000699",391
"E02000700",660
"E02000701",926
"E02000702",781
"E02000703",509
"E02000704",533
"E02000705",868
"E02000706",873
"E02000707",698
"E02000708",636
"E02000709",547
"E02000710",752
"E02000711",799
"E02000712",857
"E02000713",701
"E02000714",815
"E02000715",839
"E02000716",798
"E02000717",932
"E02000718",751
"E02000719",661
"E02000720",880
"E02000721",1184
"E02000722",854
"E02000723",1390
"E02000724",1194
"E02000725",868
"E02000726",2002
"E02000727",1094
"E02000728",992
"E02000729",706
"E02000730",1216
"E02000731",1163
"E02000732",899
"E02000733",981
"E02000734",747
"E02000735",908
"E02000736",1051
"E02000737",1031
"E02000738",1028
"E02000739",839
"E02000740",627
"E02000741",874
"E02000742",983
"E02000743",979
"E02000744",903
"E02000745",816
"E02000746",940
"E02000747",1028
"E02000748",690
"E02000749",874
"E02000750",1372
"E02000751",961
"E02000752",789
"E02000753",685
"E02000754",595
"E02000755",464
"E02000756",1438
"E02000757",1011
"E02000758",738
"E02000759",1215
"E02000760",791
"E02000762",801
"E02000763",786
"E02000764",1062
"E02000765",828
"E02000767",907
"E02000768",553
"E02000769",1805
"E02000770",941
"E02000772",942
"E02000773",1154
"E02000774",932
"E02000776",878
"E02000777",461
"E02000779",996
"E02000780",2063
"E02000781",1957
"E02000782",1201
"E02000783",835
"E02000784",465
"E02000785",431
"E02000786",521
"E02000787",614
"E02000788",489
"E02000789",289
"E02000790",325
"E02000791",266
"E02000792",386
"E02000793",522
"E02000794",395
"E02000795",304
"E02000796",901
"E02000797",409
"E02000798",660
"E02000799",351
"E02000800",325
"E02000801",367
"E02000802",390
"E02000803",617
"E02000804",385
"E02000805",546
"E02000806",548
"E02000807",576
"E02000808",649
"E02000809",620
"E02000810",830
"E02000812",728
"E02000813",757
"E02000814",756
"E02000815",442
"E02000816",820
"E02000817",696
"E02000818",661
"E02000819",731
"E02000820",668
"E02000821",598
"E02000822",545
"E02000823",641
"E02000824",848
"E02000825",861
"E02000826",744
"E02000827",852
"E02000828",723
"E02000829",840
"E02000830",650
"E02000831",644
"E02000832",725
"E02000833",538
"E02000834",601
"E02000835",496
"E02000836",547
"E02000837",535
"E02000838",654
"E02000839",544
"E02000840",822
"E02000841",861
"E02000842",735
"E02000843",687
"E02000844",683
"E02000845",654
"E02000846",628
"E02000847",751
"E02000848",658
"E02000849",640
"E02000850",874
"E02000851",905
"E02000852",589
"E02000853",568
"E02000854",433
"E02000855",475
"E02000856",654
"E02000857",650
"E02000858",671
"E02000859",605
"E02000860",643
"E02000861",474
"E02000863",468
"E02000864",988
"E02000865",658
"E02000866",797
"E02000867",974
"E02000868",762
"E02000869",501
"E02000870",637
"E02000871",1332
"E02000872",823
"E02000873",931
"E02000874",764
"E02000875",1450
"E02000876",854
"E02000877",1408
"E02000878",1065
"E02000879",971
"E02000880",753
"E02000881",1108
"E02000882",1274
"E02000883",934
"E02000884",1200
"E02000885",898
"E02000886",779
"E02000887",1212
"E02000888",782
"E02000889",648
"E02000890",317
"E02000891",1619
"E02000893",684
"E02000894",878
"E02000895",768
"E02000896",796
"E02000897",864
"E02000898",717
"E02000899",821
"E02000900",927
"E02000901",867
"E02000902",930
"E02000903",1023
"E02000904",742
"E02000905",884
"E02000906",753
"E02000907",815
"E02000908",938
"E02000909",799
"E02000910",1018
"E02000911",1109
"E02000912",843
"E02000913",952
"E02000914",1157
"E02000915",681
"E02000916",1027
"E02000917",866
"E02000918",855
"E02000919",903
"E02000920",1013
"E02000921",963
"E02000922",918
"E02000923",446
"E02000924",1199
"E02000925",543
"E02000926",843
"E02000927",460
"E02000928",399
"E02000929",549
"E02000930",665
"E02000931",490
"E02000932",706
"E02000933",489
"E02000934",621
"E02000935",561
"E02000936",524
"E02000937",429
"E02000938",709
"E02000939",449
"E02000940",604
"E02000941",728
"E02000942",565
"E02000943",534
"E02000944",704
"E02000945",609
"E02000946",689
"E02000947",524
"E02000948",623
"E02000949",665
"E02000950",517
"E02000951",425
"E02000952",435
"E02000953",515
"E02000954",411
"E02000955",503
"E02000956",568
"E02000957",850
"E02000958",625
"E02000959",564
"E02000960",331
"E02000961",585
"E02000962",571
"E02000963",857
"E02000964",961
"E02000965",524
"E02000966",513
"E02000967",428
"E02000968",1223
"E02000969",842
"E02000970",449
"E02000971",466
"E02000972",555
"E02000973",563
"E02000974",556
"E02000975",430
"E02000976",530
"E02000977",408
"E02000978",372
"E02000979",521
"E02000980",566
"E02000981",482
"E02000982",515
"E02000983",492
"E02000984",577
"E02000985",516
"E02000986",724
"E02000987",573
"E02000988",1075
"E02000989",631
"E02000990",640
"E02000991",736
"E02000992",550
"E02000993",664
"E02000994",863
"E02000995",615
"E02000996",775
"E02000997",516
"E02000998",935
"E02000999",725
"E02001000",841
"E02001001",753
"E02001002",808
"E02001003",693
"E02001004",942
"E02001005",948
"E02001006",948
"E02001007",879
"E02001008",1019
"E02001009",735
"E02001010",709
"E02001011",691
"E02001012",874
"E02001013",530
"E02001014",676
"E02001015",639
"E02001016",751
"E02001017",904
"E02001018",593
"E02001019",605
"E02001020",424
"E02001021",575
"E02001022",753
"E02001023",404
"E02001024",678
"E02001025",669
"E02001026",982
"E02001027",822
"E02001028",552
"E02001029",836
"E02001030",504
"E02001031",623
"E02001032",670
"E02001033",518
"E02001034",775
"E02001035",713
"E02001036",601
"E02001037",658
"E02001038",435
"E02001039",783
"E02001040",683
"E02001041",637
"E02001042",549
"E02001043",548
"E02001044",1137
"E02001045",681
"E02001046",1062
"E02001047",952
"E02001048",1027
"E02001049",944
"E02001050",684
"E02001051",793
"E02001052",1756
"E02001053",929
"E02001055",909
"E02001056",786
"E02001057",1245
"E02001059",992
"E02001061",903
"E02001062",1215
"E02001063",1357
"E02001064",1164
"E02001065",748
"E02001066",1382
"E02001067",1020
"E02001068",1092
"E02001069",1164
"E02001070",1801
"E02001071",1610
"E02001072",700
"E02001073",733
"E02001074",1192
"E02001075",755
"E02001076",2336
"E02001077",595
"E02001078",975
"E02001079",981
"E02001080",1266
"E02001081",423
"E02001082",625
"E02001083",775
"E02001084",766
"E02001085",759
"E02001086",583
"E02001087",615
"E02001088",758
"E02001089",555
"E02001090",503
"E02001091",713
"E02001092",722
"E02001093",884
"E02001094",768
"E02001095",912
"E02001096",631
"E02001097",814
"E02001098",491
"E02001099",450
"E02001100",621
"E02001101",555
"E02001102",544
"E02001103",302
"E02001104",711
"E02001105",576
"E02001106",620
"E02001107",689
"E02001108",584
"E02001109",709
"E02001110",429
